菜品ID,创建时间,菜名,烹饪方法,口味,制作步骤,相克食物,适用场景,口感,类别,主料,辅料,调料,推荐指数,麻辣指数,营养指数,难易指数,时间指数,减肥指数,养颜指数,菜品分类,营养成分_核黄素,营养成分_能量,营养成分_蛋白质,营养成分_脂肪,营养成分_碳水化合物,营养成分_叶酸,营养成分_膳食纤维,营养成分_胆固醇,营养成分_维生素A,营养成分_维生素B6,营养成分_维生素C,营养成分_维生素E,营养成分_胡萝卜素,营养成分_硫胺素,营养成分_烟酸,营养成分_钙,营养成分_磷,营养成分_钾,营养成分_钠,营养成分_碘,营养成分_镁,营养成分_铁,营养成分_锌,营养成分_硒,营养成分_铜,营养成分_锰,营养成分_维生素B12,营养成分_生物素,营养成分_泛酸,营养成分_维生素D,营养成分_维生素K,烹饪时长,难度等级,预估成本
155,2018-06-22 01:58:27,尖椒炒茄子,炒,微辣,1.将茄子去皮，切成细长条；2.青，红椒去籽切成细长条；3.炒锅烧热，放入油烧至六成热，倒入茄子，青红椒炒片刻倒入漏勺；4.炒锅留少许油，放入蒜泥，姜末，葱花煸香；5.倒入茄子，青红椒，烹入黄酒，加少许水及调味品，翻炒几下；6.用湿淀粉勾芡，淋麻油，即可装盘。,,中餐、晚餐,淡酱色，微辣，糯鲜。,沪菜 家常菜 健脾开胃食谱 青少年食谱,茄子200克 青椒50克 辣椒(红、尖)50克,,大蒜（白皮）5克 姜5克 大葱5克 料酒5克 酱油6克 白砂糖4克 盐3克 香油4克 淀粉(豌豆)5克 植物油30克 味精4克,8,7,7,8,8,4,0,沪菜,0.14毫克,161.97千卡,5.69克,4.76克,29.06克,30.68微克,5.24克,,162.7微克,0.01毫克,118.7毫克,5.62毫克,978.2微克,0.08毫克,2.26毫克,89.57毫克,125.07毫克,527毫克,1867.27毫克,7.14微克,54.07毫克,2.97毫克,0.89毫克,2.45微克,0.34毫克,0.72毫克,,,,,,56,2,9.6
156,2018-06-22 01:58:28,荸荠炒冬菇,炒,咸鲜味,1.先将水发冬菇洗净去沙，沥干水分。荸荠去皮洗净切片。2.炒锅烧热放入熟花生油，烧至七成热，即将冬菇、荸荠片同时下锅煸炒，放入酱油，姜末，精盐，白糖，味精，料酒，鲜汤150克，烧开用湿淀粉勾芡，淋熟油起锅装盘即成。,,早餐、中餐、晚餐、零食,鲜香滑嫩，甜而爽口。,沪菜 高血压食谱 高脂血症食谱 防癌抗癌食谱 便秘食谱,香菇（鲜）125克 荸荠250克,,酱油3克 姜1克 盐1克 白砂糖1克 料酒1克 淀粉(豌豆)5克 花生油60克 味精3克,8,0,7,7,7,5,0,沪菜,0.15毫克,742.04千卡,7.16克,60.83克,48.45克,51.66微克,6.92克,,7.78微克,,18.79毫克,26.86毫克,51.7微克,0.05毫克,4.32毫克,25.57毫克,192.32毫克,808.62毫克,854.04毫克,0.07微克,50.53毫克,4.02毫克,2.02毫克,5.06微克,0.43毫克,0.89毫克,,,,,,34,1,12.0
157,2018-06-22 01:58:37,蒜茸蒸茄子,蒸,蒜香味,1.锅下油烧热，放入蒜茸及调味料炒香成蒜茸汁；2.茄子去皮洗净抹干水分，切成4厘米*1厘米的长条盛盆；3.放入蒜茸汁拌匀，排放整齐，上笼蒸6分钟取出；4.撒上葱花，浇上热油即可。,,早餐、中餐、晚餐,蒜香浓郁，软嫩醒胃。,沪菜 止血调理食谱 延缓衰老食谱 清热解毒食谱 健脾开胃食谱,茄子250克,,大蒜（白皮）50克 大葱5克 味精3克 盐3克 白砂糖5克 香油20克,8,0,7,7,7,0,0,沪菜,0.13毫克,324.29千卡,6.28克,20.56克,32.17克,31.46微克,3.92克,,23.05微克,0.01毫克,16.15毫克,17.32毫克,143.2微克,0.08毫克,1.83毫克,87.31毫克,117.77毫克,512.29毫克,1447.96毫克,2.75微克,44.22毫克,2.02毫克,1.08毫克,2.81微克,0.37毫克,0.52毫克,,,,,,52,1,9.0
158,2018-06-22 01:58:38,油焖春笋,焖,咸鲜味,1.将春笋切成5厘米长的条；2.把油锅烧至七成热，将春笋倒入拉油至春笋水分基本收干后倒出；3.锅留底油烧热倒入春笋，再加老抽，糖，味精和适量水，用小火焖烧至水分基本收干后，淋些明油装盘即可。,,早餐、中餐、晚餐,金黄色，香而脆。,沪菜 高血压食谱 高脂血症食谱 减肥瘦身食谱 便秘食谱,春笋200克,,酱油25克 白砂糖20克 味精15克 盐5克 植物油50克,8,0,7,7,6,7,6,沪菜,0.11毫克,175.95千卡,12.22克,0.26克,36.68克,,5.65克,,10微克,,10毫克,,60微克,0.12毫克,1.27毫克,52.6毫克,125.2毫克,686.55毫克,4640.88毫克,0.6微克,56.75毫克,7.3毫克,1.22毫克,1.86微克,0.35毫克,1.97毫克,,,,,,27,1,9.0
159,2018-06-22 01:58:42,炒双冬,炒,清香味,1.水发冬菇洗净去蒂，捏干水分。熟冬笋切成梳子片。2.炒锅置火上，放入花生油，烧到八成热，即把冬菇、冬笋同时下锅煸炒几下，加入鲜汤100克和调料，用湿淀粉勾芡，淋入麻油起锅装盘。,,早餐、中餐、晚餐、零食,卤汁稠浓，香鲜清口。,沪菜 防癌抗癌食谱 便秘食谱 健脾开胃食谱 特色菜,香菇（鲜）100克 冬笋100克,,味精2克 白砂糖1克 酱油3克 盐2克 料酒1克 花生油50克 淀粉(豌豆)2克 香油2克,8,0,7,7,6,0,6,沪菜,0.16毫克,544.53千卡,7.28克,52.35克,15.24克,41.34微克,4.11克,,13微克,,2毫克,22.43毫克,80微克,0.08毫克,2.66毫克,34.7毫克,122.98毫克,32.88毫克,1125.36毫克,0.07微克,16.97毫克,2.2毫克,0.95毫克,2.66微克,0.2毫克,0.47毫克,,,,,,34,1,10.0
160,2018-06-22 01:58:47,番茄冻,其他,酸甜味,1.将鲜番茄洗净，用开水烫一下，剥去皮，挖去籽。2.将番茄肉搅成碎块，拌入白糖，放入冰箱中冷却。食用时，取出拌散。,番茄 西红柿忌与石榴同食。,早餐、中餐、晚餐、零食主料 番茄500克,,沪菜 清热解毒食谱,番茄500克,,白砂糖50克,8,0,6,9,9,0,5,沪菜,0.05毫克,255千卡,4.5克,1克,66.45克,28微克,9.5克,,315微克,0.3毫克,70毫克,2.1毫克,1875微克,0.1毫克,2.45毫克,30毫克,124毫克,897.5毫克,48.7毫克,12.5微克,61.5毫克,1.3毫克,0.63毫克,,0.22毫克,0.34毫克,,,,,,22,1,12.0
171,2018-06-22 01:58:49,花开富贵,炒,咖喱味,1.菜花一朵朵切下，先用盐水浸泡10分钟，再用开水氽烫过捞出；2.胡萝卜去皮，先煮熟，再切滚刀块；3.土豆去皮，切滚刀块，用盐水先漂过，再捞出沥干；4.芦笋削除硬皮，用开水烫软，捞出，冲凉再切小段；5.用2大匙油先将土豆炒过，并加水煮熟，放入所有材料炒匀，然后盛出，另用1大匙油炒咖喱粉和其他调味料并加1杯清水，再将各色蔬菜回锅烧入味；6.汤汁收干即可盛出。,芦笋 《食鉴本草》记载：“芦笋，忌巴豆”。,中餐、晚餐主料 菜花100克 胡萝卜50克 土豆（黄皮）80克 芦笋50克,,年夜饭 健脾开胃食谱 便秘食谱 粤菜,菜花100克 胡萝卜50克 土豆（黄皮）80克 芦笋50克,,咖喱15克 白砂糖5克 盐3克 淀粉(玉米)4克,7,0,7,7,6,5,0,粤菜,0.18毫克,211.25千卡,7.38克,2.34克,43.58克,67.2微克,9.2克,,374.8微克,0.3毫克,101.5毫克,0.91毫克,2253.3微克,0.21毫克,2.34毫克,132.98毫克,179.7毫克,935.09毫克,1259.17毫克,0.96微克,82.65毫克,7.12毫克,1.39毫克,1.58微克,0.33毫克,0.47毫克,0.02微克,,,,,58,3,9.1
172,2018-06-22 01:58:57,凉拌海蜇皮,拌,咸酸味,1.将海蜇皮泥沙洗净，切10厘米长的细丝，放入凉水内浸泡；2.黄瓜切10厘米长的细丝；3.姜刮净皮，切成细末；4.醋，酱油，麻油，精盐，味精、姜末等调料拌匀；5.将海蜇捞出，控干水分，放盘内，将汁浇在海蜇皮上，再将黄瓜丝撒在上面，食时拌匀即可。,海蜇皮 海蛰忌与白糖同腌，否则不能久藏。,中餐、晚餐主料 海蜇皮250克,,粤菜 清热解毒食谱 祛痰食谱 甲状腺疾病食谱 高血压食谱,海蜇皮250克,黄瓜100克 姜50克,醋15克 酱油8克 香油8克 盐5克 味精5克,7,0,7,7,5,5,5,粤菜,0.19毫克,212.93千卡,13.47克,9.29克,20.43克,30.9微克,1.87克,20毫克,29微克,,11毫克,10.91毫克,175微克,0.12毫克,1.46毫克,402.43毫克,118.42毫克,628.01毫克,3693.4毫克,0.19微克,346.88毫克,14.41毫克,1.86毫克,39.7微克,0.39毫克,3.28毫克,,,,,,41,2,11.0
173,2018-06-22 01:58:58,栗子炆猪肉,焖,咸甜味,1.将猪肉洗净放水中煮15分钟，切块；2.将炒锅烧热，放入油4汤匙，下栗子、猪肉爆炒片刻；3.将炒锅烧热放入猪油、蒜、姜，爆香，放入栗子、猪肉，烹入酒，生抽、老抽、水300克，用火?约40分钟，放入糖兜匀，再?片刻，放入葱段，装盘即可。,,中餐、晚餐主料 栗子（鲜）300克 猪肉(肥瘦)400克,,粤菜 营养不良食谱 气血双补食谱 补虚养身食谱 壮腰健肾食谱,栗子（鲜）300克 猪肉(肥瘦)400克,,大蒜（白皮）10克 姜5克 白砂糖15克 大葱25克 黄酒30克 生抽30克 老抽30克,7,0,7,7,5,0,0,粤菜,1.24毫克,2279.9千卡,70.6克,150.34克,163.05克,48.3微克,5.94克,320毫克,172.65微克,0.04毫克,73.65毫克,15.19毫克,597.5微克,1.34毫克,17.6毫克,124.2毫克,1011.9毫克,2461.8毫克,4274.38毫克,1.05微克,249.15毫克,12.95毫克,10.63毫克,52.81微克,1.65毫克,5.34毫克,,,,,,29,1,26.0
174,2018-06-22 01:59:01,炒鸡米,炒,咸鲜味,1.淀粉（10克）放碗内加水调出湿淀粉（20克）备用；2.葱、姜切末待用；3.将鸡脯肉剔去筋膜，切成0.4厘米见方的肉末放入碗内，加蛋清、黄酒、精盐、味精、湿淀粉拌匀，腌渍入味；4.冬笋、荸荠、菠菜梗均切成0.4厘米的丁，放入开水中焯过，捞出控净水分；5.将黄酒、精盐、味精、湿淀粉放入碗内，调成芡汁；6.炒锅内放入熟猪油，置中火上烧至五成热时，将鸡肉末放入油中滑出备用；7.锅内留油50克，用旺火烧热后，放入葱、姜末，烹入香味后，迅速放入鸡肉末及配料，倒入芡汁颠翻，淋鸡油出锅即成。,鸡蛋清 鸡蛋清不能与糖精、豆浆、兔肉同食。,中餐、晚餐主料 鸡胸脯肉250克,,粤菜 月经不调食谱 贫血食谱 便秘食谱,鸡胸脯肉250克,冬笋50克 荸荠50克 菠菜50克 鸡蛋清30克,大葱3克 姜2克 盐10克 黄酒20克 味精3克 淀粉(玉米)10克 鸡油3克 猪油（炼制）100克,7,0,7,6,6,0,0,粤菜,0.57毫克,1348.25千卡,57.65克,112.47克,29.66克,44.36微克,1.94克,298毫克,319.39微克,,20.17毫克,6.96毫克,1515.32微克,0.29毫克,28.26毫克,73.83毫克,621.97毫克,1209.82毫克,4338.4毫克,12微克,114.87毫克,4.48毫克,2.04毫克,29.52微克,0.29毫克,0.6毫克,,,,,,75,5,11.3
175,2018-06-22 01:59:03,煎金钱牛柳,生煎,酸甜味,1.牛柳（牛脊侧肉）修净筋，切成厚圆形片用刀背轻轻敲松；2.将牛肉片盛入碗内，先加入清水、苏打粉、胡椒粉、味精、精盐，拌制；3.拌透后加入鸡蛋、淀粉拌匀，再加些生油拌和，腌一至二小时待用；4.将土豆去皮洗净，切成粗条；5.将土豆条放入滚水锅加些盐，滚五成熟捞出，沥干水分；6.沥干水分的土豆条用蛋黄、淀粉拌匀；7.烧热锅放入生油，烧至八成热时将土豆条下油锅炸至金黄色，倒在笊篱内沥去油；8.用原锅把牛柳一件件下锅，煎至两面金黄色时，也倒入笊篱沥去油；9.即将辣椒油、茄汁、香油、白糖一起放入碗内调成芡汁；10.随后将牛柳投入原锅内，倒入芡汁颠翻几下，起锅装入长盘中间；11.鲜番茄切成片与土豆条分别放在长盘两端便成。,淀粉(蚕豆) 蚕豆不宜与田螺同食。,中餐、晚餐,咸、甜、酸、鲜俱全，口感、味感、质感皆佳，食后令人齿颊留香。,粤菜 营养不良食谱 贫血食谱,牛里脊肉500克,番茄250克 土豆（黄皮）150克 鸡蛋50克 淀粉(蚕豆)15克,味精3克 苏打粉4克 盐5克 胡椒粉1克 番茄汁25克 香油1克 白砂糖15克 花生油50克 辣椒油20克,7,4,7,6,3,0,0,粤菜,0.59毫克,1634.24千卡,125.67克,101.18克,65.7克,126.67微克,6.65克,512.5毫克,283.7微克,2.2毫克,56毫克,41.66毫克,993.1微克,0.46毫克,32.55毫克,82.02毫克,1413.89毫克,1750.11毫克,2689.29毫克,24.23微克,220.24毫克,6.16毫克,25.24毫克,25.96微克,0.46毫克,0.55毫克,,,,,,75,5,15.8
176,2018-06-22 01:59:07,客家封鸡,蒸,咸鲜味,1.香菇泡软去蒂；鸡的胸口、尾部各开小洞，将内脏掏空，并在背脊上剁5刀，鸡头朝着划开的背脊塞向胸口，拉出，鸡脚则自尾部的洞口塞入。2.香菇铺于锅底，放入鸡（背朝上）和蒜头、酱油、味精倒清水（盖满全鸡），移至蒸笼中，以中火蒸约2小时。3.待鸡蒸好，准备两个盘子。一个盘子铺上烫熟的空心菜（菠菜、荠菜也可），另一个盘子伸入锅中，用汤勺将鸡胸脯朝上取出，移至空心菜上面。然后浇淋汤汁，摆上香菇、蒜头、红辣椒和香菜，即做成这道芳香扑鼻的客家菜。,,早餐、中餐、晚餐、零食主料 鸡200克 空心菜230克,,粤菜 补虚养身食谱 气血双补食谱 营养不良食谱 消化不良食谱,鸡200克 空心菜230克,香菇（干）20克 辣椒(红、尖)15克,香菜5克 大蒜（白皮）3克 酱油15克 味精10克,7,2,7,5,7,0,5,粤菜,0.58毫克,447.88千卡,52.93克,19.62克,30.78克,215.91微克,16.12克,212毫克,799微克,0.18毫克,36.71毫克,1.84毫克,4213.6微克,0.23毫克,16.34毫克,330.77毫克,499.91毫克,1400.91毫克,2059.27毫克,1.36微克,201.98毫克,9毫克,4.82毫克,25.49微克,0.52毫克,2.63毫克,,,,,,53,2,11.9
177,2018-06-22 01:59:10,蚝油鸡翅,焖,咸鲜味,1.鸡翅用酱油腌5分钟；2.锅放油烧热，放入鸡翅炸变色后取出；3.锅中留少许油爆香葱、姜，倒入鸡翅、蚝油、糖、水、味精，焖煮至汁稠；4.将锅开水加精盐，投入青江菜烫一下；5.捞出冲凉排盘，把煮好的鸡翅排入即可。,,早餐、中餐、晚餐,成菜鸡翅金黄，配菜脆绿，汁稠味厚，肉质软嫩,粤菜 补气食谱 壮腰健肾食谱 胃调养食谱,鸡翅500克,油菜250克,大葱20克 姜25克 蚝油40克 味精1克 盐5克 白砂糖20克 酱油20克 植物油50克,7,0,6,7,7,0,0,粤菜,0.56毫克,1177.63千卡,101.67克,58.98克,63克,118.68微克,3.94克,405毫克,406.7微克,1.33毫克,91.6毫克,4.4毫克,1605.3微克,0.13毫克,24.19毫克,348.65毫克,621.19毫克,1714.89毫克,3597.64毫克,0.48微克,186.17毫克,9.87毫克,3.33毫克,46.09微克,0.22毫克,1.75毫克,,,,,,39,2,14.5
178,2018-06-22 01:59:14,百鸟归巢,煮,咸鲜味,1.鸡腿剁小块，猪上肩肉切四方块，一同氽烫过，去除血水后冲净，捞出；2.水发鱿鱼直切三等份长条，再切花，分小块，氽烫过，卷起时捞出；3.冬笋去壳先煮熟再切条；4.胡萝卜去皮切厚片；5.香菇泡软，去蒂，对切两半；6.西兰花切小朵，氽烫过冲凉；7.鸡腿、猪上肩肉、冬笋、胡萝卜、香菇先入锅，并加入所有调叶料和2杯清水烧开，改小火煮；8.15分钟后放入鹌鹑蛋，鱿鱼同煮入味，最后放西兰花，待所有材料已熟软，淋少许水淀粉勾芡，使汤汁微稠时盛出即可。,鸡腿 鸡腿肉忌与野鸡、甲鱼、芥末、鲤鱼、鲫鱼、兔肉、李子、虾子、芝麻、菊花以及葱蒜等一同食用；与芝麻、菊花同食易中毒；与李子、兔肉同食，会导致腹泻；与芥末同食会上火。,中餐、晚餐主料 鸡腿300克 猪肉(肥瘦)300克 鹌鹑蛋200克 鱿鱼(鲜)250克,,年夜饭 粤菜,鸡腿300克 猪肉(肥瘦)300克 鹌鹑蛋200克 鱿鱼(鲜)250克,冬笋50克 胡萝卜30克 香菇（鲜）50克 西兰花100克,料酒15克 酱油10克 盐5克 白砂糖10克 胡椒粉3克 淀粉(玉米)5克,6,0,9,6,4,0,0,粤菜,2.15毫克,2300.86千卡,177.76克,159.74克,41.75克,82.69微克,4.07克,2237毫克,2296.7微克,0.42毫克,55.9毫克,12.44毫克,8493.2微克,1.26毫克,27.11毫克,330.26毫克,1868.71毫克,2399.92毫克,3469.87毫克,75.69微克,284.84毫克,21.79毫克,20.04毫克,214.05微克,1.66毫克,1毫克,,,,,,81,5,36.6
179,2018-06-22 01:59:21,铁板黑椒牛柳,其他,椒麻味,1.将牛柳（牛里脊肉）去筋后切成长5 厘米、厚4 毫米的片，进行腌制；2.腌制入味的牛肉片加入食粉3克，生抽6克、味精5克、黄酒5克、清水75毫升、淀粉10克，拌匀至粘手；3.再加入鸡蛋15克拌匀，表面淋入净植物油，入冰箱保鲜室（4℃），冷冻约3 小时以上备用；4.净干葱切细粒；5.洋葱切细丝；6.青椒斜刀切抹刀片；7.红椒切细粒；8.大蒜拍碎剁成细茸；9.炒锅上火烧热，加入黄油熬化后，放入干葱细粒、红椒细粒及蒜茸，煸香后放黑胡椒末稍煸；10.再加入番茄酱、黄酒、生抽、砂糖、盐、［口急］汁、味精、上汤，熬开5 分钟，倒入碗中备用；11.预备大号铁板、灯盏各一个；12.铁板上火烧热后关小火温着；13.灯盏中盛入半盏黑胡椒汁；14.炒锅上大火烧热，加入植物油，烧至6 成热时，放入从冰箱中取出的牛柳，泡至八成熟控入漏勺；15.炒锅再上火烧热，加入少许底油，下入一半洋葱丝、全部青椒片煸香；16.再入牛柳，烹黄酒及黑椒汁，勾薄芡，翻炒均匀；17.在翻炒牛柳的同时将铁板淋入少许麻油，撒入另一半洋葱丝；18.再马上将翻炒均匀的牛柳盛入烧好的铁饭上，盖好盖，即可跟灯盏一起上桌；19.菜上桌，将盖打开，倒入灯盏内的汁，再加盖，等10 秒钟即可食用。,淀粉(蚕豆) 蚕豆不宜与田螺同食。,中餐、晚餐主料 牛里脊肉300克,,粤菜 补虚养身食谱 气血双补食谱 健脾开胃食谱,牛里脊肉300克,洋葱（白皮）100克 青椒50克 柿子椒30克 淀粉(蚕豆)15克,小葱75克 [口急]汁（粤语）3克 胡椒10克 生抽15克 大蒜（白皮）8克 黄酒10克 番茄酱8克 盐5克 香油3克 味精5克 黄油25克 白砂糖8克 植物油25克,6,0,8,5,6,0,0,粤菜,0.38毫克,882.15千卡,75.02克,43.43克,49.88克,59.16微克,3.6克,206毫克,141.8微克,1.03毫克,99.31毫克,3.46毫克,851.2微克,0.24毫克,20.79毫克,127.91毫克,845.56毫克,930.38毫克,3588.8毫克,7.59微克,148.43毫克,5.44毫克,15.22毫克,14.61微克,0.29毫克,0.59毫克,,,,,,115,5,12.0
180,2018-06-22 01:59:23,香菇虾球粥,煮,清香味,1.将粳米煮粥；2.香菇泡软去蒂，切块；3.葱切成2厘米长的小段；4.将虾仁、香菇、葱白放入开水中稍烫捞出；5.将粥倒入锅中煮开，加虾仁、香菇、葱白、盐、味精、麻油、胡椒粉熬熟即可。,粳米 唐•孟诜：“粳米不可同马肉食，发瘤疾。不可和苍耳食，令人卒心痛。”清•王盂英：“炒米虽香，性燥助火，非中寒便泻者忌之。”,早餐、中餐、晚餐主料 粳米50克,,夜尿多食谱 营养不良食谱 补阳食谱 粤菜 胃炎食谱,粳米50克,虾仁80克 香菇（干）20克,大葱20克 盐10克 味精5克 香油1克 胡椒粉1克,6,0,7,7,5,0,2,粤菜,0.39毫克,402.65千卡,45.23克,3.71克,54.3克,29.32微克,7.12克,420毫克,19.7微克,0.03毫克,1.6毫克,2.5毫克,17.4微克,0.14毫克,8.88毫克,485.92毫克,651.82毫克,606.44毫克,8257.89毫克,0.08微克,240.23毫克,11.82毫克,5.61毫克,63.12微克,2.19毫克,2.53毫克,,,,,,56,2,12.7
181,2018-06-22 01:59:31,年年高升,烧,糖醋味,1.小排骨先氽烫过，去除血水后冲净泡沫，沥干，放锅内，加入调味料（酒1大匙、醋2大匙、糖3大匙、酱油4大匙、清水2杯）烧开后，改小火慢慢烧至汤汁收干，排骨熟软；2.菠菜洗净，切小段，大蒜切碎；3.用2大匙油炒香蒜末，再放入菠菜炒熟，加盐调味后盛出，放盘内；4.将收干汤汁的排骨铺在菠菜上即成。,,中餐、晚餐主料 猪小排（猪肋排）600克 菠菜300克,,年夜饭 粤菜 滋阴食谱 肾调养食谱 补血食谱 补虚养身食谱 便秘食谱,猪小排（猪肋排）600克 菠菜300克,,大蒜（白皮）8克 料酒5克 醋10克 白砂糖10克 酱油5克 盐4克,6,0,7,7,5,0,0,粤菜,1.31毫克,1796.33千卡,108.85克,139.55克,30.89克,263.7微克,5.2克,876毫克,1491.4微克,,96.56毫克,5.97毫克,8762.4微克,1.93毫克,29.07毫克,293毫克,980.96毫克,2390.17毫克,2519.31毫克,72.12微克,269.16毫克,18.33毫克,22.98毫克,69.81微克,1.35毫克,2.5毫克,,,,,,34,1,16.0
182,2018-06-22 01:59:32,香柠芝麻虾,溜,酸甜味,1.将淀粉、泡打粉筛匀放碟上；2.芝麻放干锅内炒熟（不加油）待用；3.将柠檬洗净，连皮切薄片，再从中间切一刀成半圆形；4.将虾去壳，洗净控干水分，切双飞刀，加盐、香油、吉士粉、白糖、鸡蛋白、淀粉15克拌匀，沾满已筛匀的淀粉，放滚油中炸熟后上盘；5.将油放炒锅内烧热后勾芡，淋在虾上，撒上芝麻，将柠檬放虾旁边即可。,河虾 虾忌与某些水果同吃。虾含有比较丰富的蛋白质和钙等营养物质。如果把它们与含有鞣酸的水果，如葡萄、石榴、山楂、柿子等同食，不仅会降低蛋白质的营养价值，而且鞣酸和钙离子结合形成不溶性结合物刺激肠胃，引起人体不适，出现呕吐、头晕、恶心和腹痛腹泻等症状。海鲜与这些水果同吃至少应间隔2小时。,中餐、晚餐主料 河虾300克,,粤菜 补虚养身食谱 壮腰健肾食谱 补阳食谱 阳痿早泄食谱,河虾300克,芝麻30克 柠檬100克 鸡蛋清30克 淀粉(玉米)60克,泡打粉5克 盐3克 香油5克 吉士粉8克 白砂糖15克 花生油50克,6,0,7,6,6,0,0,粤菜,0.3毫克,1230.5千卡,60.02克,75.3克,89.18克,19.92微克,4.3克,720毫克,144微克,,20毫克,53.14毫克,,0.31毫克,2.46毫克,1285.16毫克,763毫克,1321.87毫克,1620.92毫克,,287.21毫克,21.49毫克,8.96毫克,93.21微克,2.63毫克,1.44毫克,,,,,,45,3,27.2
183,2018-06-22 01:59:38,咕噜蜜肉,糖醋溜,酸甜味,1.猪肉切成3厘米*3厘米*0.5厘米的厚片，加盐2克、味精2克、鸡蛋、生粉10克，清水10克搅拌均匀，腌渍半小时后，蘸多量生粉，备用；菠萝切片；红辣椒、青椒去籽后，切成三角片；葱切成3厘米长段；蒜头拍碎。2.炒锅以大火烧热，倒入400克油烧开后，改中火，将猪肉一片片放入炸约10分钟，呈淡黄色即捞起沥干。3.锅中留10克油，以中火烧热，放菠萝、红辣椒、青椒、葱、蒜头一起拌炒二三分钟后，加糖、醋及生粉10克、清水10克勾芡，马上放猪肉，快速拌匀即成。,鸡蛋 与鹅肉同食损伤脾胃；与兔肉、柿子同食导致腹泻；同时不宜与甲鱼、鲤鱼、豆浆、茶同食。,中餐、晚餐主料 猪腿肉225克,,粤菜 健脾开胃食谱 补血食谱 滋阴食谱,猪腿肉225克,菠萝150克 辣椒(红、尖)15克 辣椒(青、尖)15克 鸡蛋40克,大葱15克 大蒜（白皮）2克 植物油50克 白砂糖150克 醋150克 芡粉70克 盐2克 味精2克,6,2,7,6,5,0,0,粤菜,0.77毫克,1442.88千卡,52.08克,33.08克,240.54克,84.54微克,3.69克,411.75毫克,149.95微克,0.02毫克,58.49毫克,1.63毫克,299.7微克,1.37毫克,13.93毫克,153.67毫克,680.62毫克,1527.6毫克,1550.48毫克,17.03微克,113.7毫克,16.62毫克,7.8毫克,40.66微克,0.69毫克,6.44毫克,,,,,,40,2,11.5
184,2018-06-22 01:59:46,干菜扣肉,蒸,咸鲜味,1.五花肉切片(约0.5厘米厚)；干菜剁碎。2.将肉片整齐地铺在小汤碗中，加味精、酱油及干菜，再用玻璃纸封住碗口。3.移汤碗入锅，以中火蒸约50分钟，取出，倒扣于盘中，加香菜（切末）作为缀饰，即成。,霉干菜 霉干菜忌于羊肉同食，否则会导致胸闷。,早餐、中餐、晚餐、零食主料 猪肉(肥瘦)230克 霉干菜300克,,粤菜 补虚养身食谱 低温环境作业人群食谱,猪肉(肥瘦)230克 霉干菜300克,,味精2克 酱油10克 香菜5克,6,0,7,6,4,0,0,粤菜,1.59毫克,1344.71千卡,71.71克,87.53克,149.87克,17.33微克,82.28克,184毫克,501.05微克,,2.4毫克,0.84毫克,2758微克,0.51毫克,10.14毫克,4653.45毫克,695.53毫克,3165.58毫克,10876.9毫克,0.32微克,843.19毫克,122.61毫克,9.98毫克,34.32微克,1.36毫克,28.2毫克,,,,,,54,1,19.2
185,2018-06-22 01:59:47,清蒸石斑鱼,清蒸,本味咸鲜,1.将石斑鱼放在砧板上拍晕，放在70℃的热水中略烫、取出，用清水过冷后，打清鱼鳞；2.于肛门处开一刀，将鳃根割断，用竹筷从口往鳃部插至肚内，将鱼鳃和内脏一起挟出，洗净，用盐将鱼身抹匀；3.用长盘1个，横架上筷子两根，将鱼放上，撒上姜丝，用花生油10克淋在鱼身上，放入蒸笼；4.余油和豉油皇汁用碗盛载也一同放入蒸笼；5.以旺火蒸约8 分钟至刚熟，取出；6.再撒上葱丝，淋上熟油和豉油皇汁即可上席。,,中餐、晚餐主料 石斑鱼700克,,脾调养食谱 粤菜 补虚养身食谱 贫血食谱 美容养颜食谱,石斑鱼700克,,小葱20克 姜20克 盐5克 香油1克 花生油50克,6,0,7,5,7,0,6,粤菜,0.02毫克,471.48千卡,0.58克,51.15克,3.04克,5.82微克,0.82克,,33.6微克,,5毫克,21.83毫克,202微克,0.01毫克,0.24毫克,26.9毫克,17.7毫克,88.8毫克,1972.36毫克,,13.5毫克,2.04毫克,0.39毫克,0.37微克,0.12毫克,0.85毫克,,,,,,62,2,35.0
